transformation,accuracy,macro_f1,roc_auc,fpr,fnr,samples,skipped
original,0.82,0.7303191223718599,0.87884,0.27,0.162,600,0
jpeg_quality_50,0.75,0.6710093433346493,0.8590599999999999,0.22,0.256,600,0
resize_112,0.8433333333333334,0.6051636750581053,0.7720400000000001,0.8,0.028,600,0
gaussian_blur,0.8283333333333334,0.6737598386747681,0.7972800000000001,0.58,0.09,600,0
brightness_115,0.8416666666666667,0.7419308102919804,0.8820399999999999,0.34,0.122,600,0
